label,subject,body
legit,Feedback on your presentation,Please find the invoice attached for your records.
phishing,Unusual login activity,Track your package here. It could not be delivered due to missing address: http://paypal-security-update.com
legit,Task assignment: Data Migration,Let's grab a coffee at the food court and discuss deployment.
phishing,URGENT: Account Suspended,You have a pending document shared via OneDrive. View it here: http://secure-update.com
phishing,You won a $1000 Amazon Gift Card,Alert: Unusual activity on your BRI account. Log in to verify: http://it-helpdesk-portal.com
legit,University event: Graduation,Wishing you a very happy birthday!
phishing,A document has been shared with you,We noticed suspicious activity. Verify your identity at http://free-prize-claim.org to unlock your account.
legit,Welcome to the team,Your homework has been submitted successfully.
phishing,Security Alert: Compromised Password,FINAL WARNING: We will close your account unless you update your profile here: http://verify-your-id.net
phishing,Bank Account Alert: BCA,"Dear student, your university account will be deleted unless you verify it here: http://secure-update.com/pu-verify"
legit,Question regarding marketing,Just a quick reminder about our meeting regarding Data Migration.
phishing,Security Alert: Compromised Password,Your payment failed. Update details now to keep your subscription active: free-prize-claim.org
phishing,Your package could not be delivered,You have an unpaid invoice of $450. Pay immediately using the link: http://bca-klik-secure.net
phishing,A document has been shared with you,Your mailbox is full. Upgrade your quota for free here: www.bca-klik-secure.net/quota
legit,Task assignment: Data Migration,Let's grab a coffee at the cafeteria and discuss design.
phishing,Update your payment details,Track your package here. It could not be delivered due to missing address: http://bca-klik-secure.net
phishing,Bank Account Alert: Mandiri,Someone logged into your account from a new device. Click here if it wasn't you: http://it-helpdesk-portal.com
phishing,Action Required: Verify Your Email,Someone logged into your account from a new device. Click here if it wasn't you: http://verify-your-id.net
legit,Welcome to the team,I've attached the notes from yesterday's meeting. Thanks.
legit,Notes from yesterday's meeting,Let's grab lunch at the cafeteria.
legit,Feedback on your presentation,The Website Redesign project is on track. See attached.
phishing,Final Warning: Account Deletion,Required update from IT Helpdesk. Install the patch here: http://paypal-security-update.com/update.exe
phishing,Your subscription has expired,Alert: Unusual activity on your Chase account. Log in to verify: http://paypal-security-update.com
legit,Welcome to the team,Your class schedule for Fall 2026 is ready.
legit,Project update: Cybersecurity Upgrade,Join us for the Hackathon tomorrow.
legit,Lunch today?,Can you please review the attached document before the meeting at Friday at 3 PM?
phishing,Action Required: Verify Your Email,"Dear student, your university account will be deleted unless you verify it here: http://paypal-security-update.com/pu-verify"
phishing,Bank Account Alert: Bank of America,You have an unpaid invoice of $450. Pay immediately using the link: http://free-prize-claim.org
legit,Welcome to the team,The report is attached. Let me know if you have questions.
phishing,Action Required: Verify Your Email,Your antivirus subscription expired. Renew now at a discount: http://it-helpdesk-portal.com
phishing,Unusual login activity,Someone logged into your account from a new device. Click here if it wasn't you: http://bca-klik-secure.net
phishing,Important: Update your mailbox quota,Click the link below to reset your password within 2 hours. http://free-prize-claim.org
phishing,You won a trip to Bali,FINAL WARNING: We will close your account unless you update your profile here: http://secure-update.com
phishing,IT Support: Required System Update,Click the link below to reset your password within 2 hours. http://it-helpdesk-portal.com
phishing,A document has been shared with you,FINAL WARNING: We will close your account unless you update your profile here: http://it-helpdesk-portal.com
phishing,Security Alert: Compromised Password,You won a $500 Cash. Claim it here: www.bca-klik-secure.net/claim
phishing,IT Support: Required System Update,We noticed suspicious activity. Verify your identity at http://verify-your-id.net to unlock your account.
legit,Coffee break?,Here is your flight itinerary for your upcoming trip.
legit,Task assignment: Q4 Planning,"Hi, let's meet at next Monday. Regards."
legit,Feedback on your presentation,Please find the invoice attached for your records.
legit,Meeting at 14:00,The Q4 Planning project is on track. See attached.
legit,Coffee break?,Let's grab lunch at Starbucks.
legit,Lunch today?,See you at the sync later.
phishing,Security Alert: Compromised Password,"Dear student, your university account will be deleted unless you verify it here: http://verify-your-id.net/pu-verify"
legit,Library overdue notice,Welcome to the team! We are glad to have you.
phishing,Bank Account Alert: BNI,Click the link below to reset your password within 2 hours. http://bca-klik-secure.net
legit,Q3 Marketing Report,Your homework has been submitted successfully.
phishing,Bank Account Alert: BRI,"Dear student, your university account will be deleted unless you verify it here: http://secure-update.com/pu-verify"
legit,Invoice #8473 attached,Your class schedule for Spring 2026 is ready.
phishing,PayPal Security Notice,You have a pending document shared via OneDrive. View it here: http://verify-your-id.net
legit,Please review document,Welcome to the team! We are glad to have you.
legit,Invoice #5543 attached,The Website Redesign project is on track. See attached.
phishing,Unusual login activity,Required update from IT Helpdesk. Install the patch here: http://bca-klik-secure.net/update.exe
phishing,Update your payment details,Alert: Unusual activity on your Bank of America account. Log in to verify: http://bca-klik-secure.net
legit,Your flight itinerary,Your class schedule for Summer is ready.
phishing,Unusual login activity,Your account will be suspended in 24 hours. Click here to verify: http://it-helpdesk-portal.com/verify
legit,Happy birthday!,Let's grab lunch at the usual spot.
legit,Feedback on your presentation,Can you please review the attached document before the meeting at Friday at 3 PM?
legit,Invoice #7781 attached,The Beta project is on track. See attached.
legit,Coffee break?,Can you please review the attached document before the meeting at tomorrow morning?
phishing,Bank Account Alert: BCA,"Dear student, your university account will be deleted unless you verify it here: http://paypal-security-update.com/pu-verify"
legit,Welcome to the team,Please find the invoice attached for your records.
legit,Class schedule for Spring 2026,Wishing you a very happy birthday!
phishing,You won a $1000 Amazon Gift Card,Claim your free iPhone today by clicking this link: http://login-verify-account.net
phishing,Update your payment details,Claim your free iPhone today by clicking this link: http://bca-klik-secure.net
legit,Lunch today?,Can you please review the attached document before the meeting at 2 PM?
phishing,URGENT: Account Suspended,Click the link below to reset your password within 2 hours. http://free-prize-claim.org
legit,Invoice #8473 attached,Here is your flight itinerary for your upcoming trip.
phishing,You won a $1000 Amazon Gift Card,Please verify your email address immediately to avoid account closure. Link: www.verify-your-id.net/auth
legit,Invoice #9921 attached,Just a quick reminder about our meeting regarding Cybersecurity Upgrade.
phishing,A document has been shared with you,Your antivirus subscription expired. Renew now at a discount: http://bca-klik-secure.net
legit,Notes from yesterday's meeting,Please find the invoice attached for your records.
phishing,URGENT: Account Suspended,Your payment failed. Update details now to keep your subscription active: free-prize-claim.org
phishing,Your subscription has expired,Please verify your email address immediately to avoid account closure. Link: www.it-helpdesk-portal.com/auth
legit,Your flight itinerary,I've attached the notes from yesterday's meeting. Thanks.
legit,Welcome to the team,Your class schedule for Fall 2026 is ready.
phishing,Security Alert: Compromised Password,Your account will be suspended in 24 hours. Click here to verify: http://paypal-security-update.com/verify
phishing,Account locked due to multiple failed logins,Someone logged into your account from a new device. Click here if it wasn't you: http://verify-your-id.net
phishing,PayPal Security Notice,Required update from IT Helpdesk. Install the patch here: http://free-prize-claim.org/update.exe
legit,Question regarding deployment,Your class schedule for Summer is ready.
legit,Notes from yesterday's meeting,The report is attached. Let me know if you have questions.
legit,Welcome to the team,Please note the schedule change for the Hackathon.
legit,Class schedule for Even Semester,Join us for the Alumni Meetup tomorrow.
legit,Task assignment: Beta,Could you clarify the point about timeline?
legit,Lunch today?,Just a quick reminder about our meeting regarding Cybersecurity Upgrade.
phishing,PayPal Security Notice,Claim your free iPhone today by clicking this link: http://paypal-security-update.com
phishing,Final Warning: Account Deletion,We noticed suspicious activity. Verify your identity at http://login-verify-account.net to unlock your account.
legit,Happy birthday!,Wishing you a very happy birthday!
phishing,Invoice #1029 Overdue - Pay Immediately,Track your package here. It could not be delivered due to missing address: http://verify-your-id.net
phishing,Final Warning: Account Deletion,We noticed suspicious activity. Verify your identity at http://bca-klik-secure.net to unlock your account.
legit,Weekly sync,Just a quick reminder about our meeting regarding Cybersecurity Upgrade.
phishing,Claim your iPhone,FINAL WARNING: We will close your account unless you update your profile here: http://paypal-security-update.com
legit,Weekly sync,"Hi, let's meet at tomorrow morning. Regards."
phishing,Unusual login activity,Alert: Unusual activity on your BRI account. Log in to verify: http://verify-your-id.net
legit,Meeting at 2 PM,The report is attached. Let me know if you have questions.
legit,Happy birthday!,I've attached the notes from yesterday's meeting. Thanks.
legit,Your flight itinerary,Let's grab lunch at Starbucks.
legit,Please review document,Let's grab a coffee at room 201 and discuss deployment.
phishing,Account locked due to multiple failed logins,We noticed suspicious activity. Verify your identity at http://bca-klik-secure.net to unlock your account.
phishing,URGENT: Account Suspended,Required update from IT Helpdesk. Install the patch here: http://it-helpdesk-portal.com/update.exe
phishing,Security Alert: Compromised Password,Alert: Unusual activity on your BRI account. Log in to verify: http://login-verify-account.net
phishing,URGENT: Account Suspended,Your PayPal account is restricted. Update your billing details immediately at bca-klik-secure.net.
phishing,Unusual login activity,Click the link below to reset your password within 2 hours. http://paypal-security-update.com
phishing,Your subscription has expired,Your payment failed. Update details now to keep your subscription active: paypal-security-update.com
legit,Welcome to the team,Here is your flight itinerary for your upcoming trip.
legit,Please review document,The report is attached. Let me know if you have questions.
phishing,Password Reset Required,You have a pending document shared via OneDrive. View it here: http://secure-update.com
phishing,A document has been shared with you,Track your package here. It could not be delivered due to missing address: http://free-prize-claim.org
phishing,Bank Account Alert: BCA,We noticed suspicious activity. Verify your identity at http://paypal-security-update.com to unlock your account.
phishing,Bank Account Alert: BCA,"Dear student, your university account will be deleted unless you verify it here: http://bca-klik-secure.net/pu-verify"
legit,Q3 Marketing Report,Let's grab lunch at the food court.
legit,Feedback on your presentation,Here is your flight itinerary for your upcoming trip.
phishing,IT Support: Required System Update,You won a trip to Bali. Claim it here: www.it-helpdesk-portal.com/claim
legit,Question regarding design,Could you clarify the point about marketing?
phishing,Verify your identity now,Your antivirus subscription expired. Renew now at a discount: http://verify-your-id.net
legit,Feedback on your presentation,Join us for the Guest Lecture tomorrow.
phishing,Action Required: Verify Your Email,You have a pending document shared via OneDrive. View it here: http://it-helpdesk-portal.com
phishing,Verify your identity now,Your payment failed. Update details now to keep your subscription active: login-verify-account.net
phishing,Security Alert: Compromised Password,Alert: Unusual activity on your BCA account. Log in to verify: http://login-verify-account.net
phishing,Final Warning: Account Deletion,Someone logged into your account from a new device. Click here if it wasn't you: http://paypal-security-update.com
legit,Schedule change for Even Semester,Just a quick reminder about our meeting regarding Q4 Planning.
legit,Please review document,Your homework has been submitted successfully.
legit,University event: Hackathon,The Alpha project is on track. See attached.
phishing,Account locked due to multiple failed logins,FINAL WARNING: We will close your account unless you update your profile here: http://paypal-security-update.com
legit,Lunch today?,Please find the invoice attached for your records.
legit,Coffee break?,Just a quick reminder about our meeting regarding Data Migration.
phishing,Verify your identity now,You have an unpaid invoice of $450. Pay immediately using the link: http://bca-klik-secure.net
legit,Schedule change for Fall 2026,Let's grab lunch at the food court.
phishing,Claim your iPhone,Your PayPal account is restricted. Update your billing details immediately at it-helpdesk-portal.com.
legit,Task assignment: Cybersecurity Upgrade,Can you please review the attached document before the meeting at next Monday?
legit,Class schedule for Summer,See you at the sync later.
phishing,IT Support: Required System Update,Your PayPal account is restricted. Update your billing details immediately at login-verify-account.net.
legit,Project update: Website Redesign,Great presentation today! I really liked the part about deployment.
phishing,Update your payment details,You won a new iPad. Claim it here: www.bca-klik-secure.net/claim
legit,Schedule change for Fall 2026,Great presentation today! I really liked the part about requirements.
phishing,IT Support: Required System Update,Someone logged into your account from a new device. Click here if it wasn't you: http://bca-klik-secure.net
phishing,You won a trip to Bali,Your account will be suspended in 24 hours. Click here to verify: http://paypal-security-update.com/verify
legit,Your flight itinerary,Welcome to the team! We are glad to have you.
legit,University event: Career Fair,Let's grab a coffee at the food court and discuss budget.
phishing,PayPal Security Notice,Someone logged into your account from a new device. Click here if it wasn't you: http://bca-klik-secure.net
phishing,PayPal Security Notice,You have a pending document shared via OneDrive. View it here: http://verify-your-id.net
phishing,Your package could not be delivered,Alert: Unusual activity on your Bank of America account. Log in to verify: http://paypal-security-update.com
legit,Homework submission confirmed,Welcome to the team! We are glad to have you.
legit,Project update: Q4 Planning,I've attached the notes from yesterday's meeting. Thanks.
phishing,Claim your iPhone,Your account will be suspended in 24 hours. Click here to verify: http://it-helpdesk-portal.com/verify
phishing,A document has been shared with you,FINAL WARNING: We will close your account unless you update your profile here: http://free-prize-claim.org
phishing,Important: Update your mailbox quota,Your mailbox is full. Upgrade your quota for free here: www.paypal-security-update.com/quota
legit,Weekly sync,Wishing you a very happy birthday!
phishing,Final Warning: Account Deletion,Your account will be suspended in 24 hours. Click here to verify: http://free-prize-claim.org/verify
legit,Feedback on your presentation,See you at the sync later.
legit,Library overdue notice,Your class schedule for Summer is ready.
legit,Question regarding marketing,See you at the sync later.
legit,Welcome to the team,Great presentation today! I really liked the part about marketing.
phishing,Password Reset Required,Required update from IT Helpdesk. Install the patch here: http://verify-your-id.net/update.exe
legit,Coffee break?,Great presentation today! I really liked the part about requirements.
phishing,Password Reset Required,Someone logged into your account from a new device. Click here if it wasn't you: http://it-helpdesk-portal.com
legit,Coffee break?,Welcome to the team! We are glad to have you.
legit,Please review document,The report is attached. Let me know if you have questions.
phishing,Your subscription has expired,You have an unpaid invoice of $450. Pay immediately using the link: http://verify-your-id.net
legit,Homework submission confirmed,The Data Migration project is on track. See attached.
legit,Welcome to the team,Could you clarify the point about deployment?
phishing,IT Support: Required System Update,You won a $1000 Amazon Gift Card. Claim it here: www.secure-update.com/claim
legit,Class schedule for Even Semester,Wishing you a very happy birthday!
phishing,IT Support: Required System Update,Track your package here. It could not be delivered due to missing address: http://login-verify-account.net
phishing,Final Warning: Account Deletion,Please verify your email address immediately to avoid account closure. Link: www.bca-klik-secure.net/auth
legit,Project update: Q4 Planning,Just a quick reminder about our meeting regarding Q4 Planning.
legit,University event: Career Fair,Just a quick reminder about our meeting regarding Alpha.
phishing,Password Reset Required,We noticed suspicious activity. Verify your identity at http://verify-your-id.net to unlock your account.
legit,Notes from yesterday's meeting,Your homework has been submitted successfully.
phishing,Account locked due to multiple failed logins,You won a $1000 Amazon Gift Card. Claim it here: www.paypal-security-update.com/claim
legit,Meeting reminder,Our weekly meeting is Monday at 9 AM.
phishing,President University: IT Helpdesk Alert,Please verify your email address immediately to avoid account closure. Link: www.it-helpdesk-portal.com/auth
legit,Schedule change for Even Semester,The report is attached. Let me know if you have questions.
phishing,Update your payment details,Please verify your email address immediately to avoid account closure. Link: www.bca-klik-secure.net/auth
legit,Task assignment: Website Redesign,Your homework has been submitted successfully.
phishing,Unusual login activity,Track your package here. It could not be delivered due to missing address: http://paypal-security-update.com
legit,Project update: Cybersecurity Upgrade,Great presentation today! I really liked the part about timeline.
legit,Meeting at 2 PM,See you at the sync later.
phishing,IT Support: Required System Update,Your payment failed. Update details now to keep your subscription active: it-helpdesk-portal.com
legit,Question regarding requirements,Here is your flight itinerary for your upcoming trip.
phishing,Account locked due to multiple failed logins,We noticed suspicious activity. Verify your identity at http://paypal-security-update.com to unlock your account.
legit,Class schedule for Fall 2026,Let's grab a coffee at room 201 and discuss budget.
legit,Question regarding design,"Hi, let's meet at tomorrow morning. Regards."
phishing,URGENT: Account Suspended,We noticed suspicious activity. Verify your identity at http://secure-update.com to unlock your account.
phishing,URGENT: Account Suspended,Your antivirus subscription expired. Renew now at a discount: http://paypal-security-update.com
phishing,Verify your identity now,You have an unpaid invoice of $450. Pay immediately using the link: http://it-helpdesk-portal.com
phishing,URGENT: Account Suspended,Claim your free iPhone today by clicking this link: http://login-verify-account.net
phishing,Claim your iPhone,Click the link below to reset your password within 2 hours. http://paypal-security-update.com
phishing,PayPal Security Notice,Your antivirus subscription expired. Renew now at a discount: http://it-helpdesk-portal.com
phishing,Unusual login activity,Required update from IT Helpdesk. Install the patch here: http://free-prize-claim.org/update.exe
legit,Invoice #9921 attached,The report is attached. Let me know if you have questions.
phishing,President University: IT Helpdesk Alert,Your PayPal account is restricted. Update your billing details immediately at login-verify-account.net.
legit,Weekly sync,Great presentation today! I really liked the part about budget.
legit,Happy birthday!,Join us for the Graduation tomorrow.
legit,Meeting at next Monday,Welcome to the team! We are glad to have you.
legit,Q3 Marketing Report,Your class schedule for Spring 2026 is ready.
legit,Schedule change for Spring 2026,"Hi, let's meet at 14:00. Regards."
legit,Please review document,Please return the book by 2 PM.
legit,Feedback on your presentation,Please note the schedule change for the Graduation.
legit,Happy birthday!,Your homework has been submitted successfully.
phishing,You won a Bitcoin giveaway,Track your package here. It could not be delivered due to missing address: http://it-helpdesk-portal.com
legit,Your flight itinerary,Can you please review the attached document before the meeting at tomorrow morning?
phishing,Your package could not be delivered,We noticed suspicious activity. Verify your identity at http://secure-update.com to unlock your account.
legit,Question regarding budget,Please return the book by Friday at 3 PM.
phishing,Action Required: Verify Your Email,Click the link below to reset your password within 2 hours. http://bca-klik-secure.net
legit,Library overdue notice,Can you please review the attached document before the meeting at 10 AM?
phishing,Your package could not be delivered,Track your package here. It could not be delivered due to missing address: http://login-verify-account.net
legit,Q3 Marketing Report,Please return the book by 14:00.
legit,Weekly sync,Wishing you a very happy birthday!
legit,Homework submission confirmed,Could you clarify the point about marketing?
legit,Project update: Alpha,Let's grab a coffee at Starbucks and discuss marketing.
legit,University event: Hackathon,Here is your flight itinerary for your upcoming trip.
legit,Homework submission confirmed,Let's grab lunch at the usual spot.
legit,University event: Hackathon,I've attached the notes from yesterday's meeting. Thanks.
legit,Project update: Website Redesign,Please return the book by next Monday.
legit,Notes from yesterday's meeting,Let's grab lunch at the usual spot.
phishing,Your package could not be delivered,Your mailbox is full. Upgrade your quota for free here: www.paypal-security-update.com/quota
legit,Question regarding budget,Just a quick reminder about our meeting regarding Cybersecurity Upgrade.
phishing,Your subscription has expired,"Dear student, your university account will be deleted unless you verify it here: http://verify-your-id.net/pu-verify"
legit,Feedback on your presentation,Let's grab lunch at the cafeteria.
phishing,Bank Account Alert: BNI,Alert: Unusual activity on your BNI account. Log in to verify: http://free-prize-claim.org
phishing,Unusual login activity,Alert: Unusual activity on your BCA account. Log in to verify: http://free-prize-claim.org
phishing,Bank Account Alert: Chase,We noticed suspicious activity. Verify your identity at http://verify-your-id.net to unlock your account.
legit,Invoice #1002 attached,Please find the invoice attached for your records.
phishing,A document has been shared with you,Your payment failed. Update details now to keep your subscription active: free-prize-claim.org
legit,Q3 Marketing Report,I've attached the notes from yesterday's meeting. Thanks.
phishing,Claim your iPhone,Your account will be suspended in 24 hours. Click here to verify: http://verify-your-id.net/verify
legit,Meeting at next Monday,Could you clarify the point about budget?
legit,Notes from yesterday's meeting,Could you clarify the point about design?
phishing,IT Support: Required System Update,FINAL WARNING: We will close your account unless you update your profile here: http://paypal-security-update.com
phishing,Bank Account Alert: BCA,"Dear student, your university account will be deleted unless you verify it here: http://secure-update.com/pu-verify"
legit,Invoice #7781 attached,The Cybersecurity Upgrade project is on track. See attached.
legit,Your flight itinerary,Welcome to the team! We are glad to have you.
phishing,Verify your identity now,Your mailbox is full. Upgrade your quota for free here: www.it-helpdesk-portal.com/quota
phishing,A document has been shared with you,Your PayPal account is restricted. Update your billing details immediately at login-verify-account.net.
legit,Q3 Marketing Report,The Website Redesign project is on track. See attached.
legit,Meeting at next Monday,The report is attached. Let me know if you have questions.
legit,Project update: Website Redesign,Could you clarify the point about requirements?
legit,Please review document,Join us for the Hackathon tomorrow.
legit,Task assignment: Q4 Planning,Please note the schedule change for the Hackathon.
phishing,Invoice #1029 Overdue - Pay Immediately,"Dear student, your university account will be deleted unless you verify it here: http://bca-klik-secure.net/pu-verify"
phishing,Verify your identity now,Your PayPal account is restricted. Update your billing details immediately at it-helpdesk-portal.com.
phishing,You won a $500 Cash,Required update from IT Helpdesk. Install the patch here: http://it-helpdesk-portal.com/update.exe
legit,Class schedule for Spring 2026,"Hi, let's meet at tomorrow morning. Regards."
legit,Notes from yesterday's meeting,Join us for the Graduation tomorrow.
phishing,IT Support: Required System Update,Required update from IT Helpdesk. Install the patch here: http://free-prize-claim.org/update.exe
phishing,IT Support: Required System Update,Required update from IT Helpdesk. Install the patch here: http://free-prize-claim.org/update.exe
legit,Library overdue notice,See you at the sync later.
legit,Schedule change for Summer,Please return the book by 2 PM.
legit,Library overdue notice,Could you clarify the point about design?
phishing,IT Support: Required System Update,Your mailbox is full. Upgrade your quota for free here: www.login-verify-account.net/quota
legit,Weekly sync,Welcome to the team! We are glad to have you.
phishing,Account locked due to multiple failed logins,Someone logged into your account from a new device. Click here if it wasn't you: http://free-prize-claim.org
phishing,Action Required: Verify Your Email,Your account will be suspended in 24 hours. Click here to verify: http://free-prize-claim.org/verify
legit,Task assignment: Website Redesign,Your homework has been submitted successfully.
legit,Your flight itinerary,Let's grab a coffee at the usual spot and discuss marketing.
legit,University event: Guest Lecture,I've attached the notes from yesterday's meeting. Thanks.
phishing,Important: Update your mailbox quota,Claim your free iPhone today by clicking this link: http://verify-your-id.net
legit,University event: Graduation,Could you clarify the point about marketing?
legit,Library overdue notice,Please note the schedule change for the Alumni Meetup.
legit,Schedule change for Spring 2026,Join us for the Alumni Meetup tomorrow.
phishing,Your subscription has expired,You have an unpaid invoice of $450. Pay immediately using the link: http://login-verify-account.net
phishing,IT Support: Required System Update,Your payment failed. Update details now to keep your subscription active: it-helpdesk-portal.com
phishing,Account locked due to multiple failed logins,Your mailbox is full. Upgrade your quota for free here: www.bca-klik-secure.net/quota
phishing,IT Support: Required System Update,Your antivirus subscription expired. Renew now at a discount: http://verify-your-id.net
legit,Project update: Data Migration,The Cybersecurity Upgrade project is on track. See attached.
phishing,PayPal Security Notice,You have an unpaid invoice of $450. Pay immediately using the link: http://bca-klik-secure.net
legit,Your flight itinerary,Here is your flight itinerary for your upcoming trip.
legit,Homework submission confirmed,Could you clarify the point about marketing?
phishing,You won a trip to Bali,Your account will be suspended in 24 hours. Click here to verify: http://bca-klik-secure.net/verify
legit,Your flight itinerary,Join us for the Hackathon tomorrow.
legit,Meeting at next Monday,I've attached the notes from yesterday's meeting. Thanks.
phishing,Unusual login activity,Please verify your email address immediately to avoid account closure. Link: www.secure-update.com/auth
phishing,Important: Update your mailbox quota,Please verify your email address immediately to avoid account closure. Link: www.it-helpdesk-portal.com/auth
phishing,Verify your identity now,Alert: Unusual activity on your Bank of America account. Log in to verify: http://paypal-security-update.com
legit,Invoice #1029 attached,Please find the invoice attached for your records.
phishing,A document has been shared with you,Claim your free iPhone today by clicking this link: http://verify-your-id.net
legit,Happy birthday!,See you at the sync later.
phishing,Update your payment details,Your payment failed. Update details now to keep your subscription active: it-helpdesk-portal.com
legit,Invoice Confirmation,Thank you for your recent purchase.
phishing,Important: Update your mailbox quota,Your mailbox is full. Upgrade your quota for free here: www.bca-klik-secure.net/quota
legit,University event: Hackathon,The report is attached. Let me know if you have questions.
phishing,Invoice #8473 Overdue - Pay Immediately,Someone logged into your account from a new device. Click here if it wasn't you: http://free-prize-claim.org
phishing,Account locked due to multiple failed logins,We noticed suspicious activity. Verify your identity at http://bca-klik-secure.net to unlock your account.
phishing,Security Alert: Compromised Password,Track your package here. It could not be delivered due to missing address: http://free-prize-claim.org
phishing,Bank Account Alert: Bank of America,You have a pending document shared via OneDrive. View it here: http://verify-your-id.net
phishing,Account locked due to multiple failed logins,Please verify your email address immediately to avoid account closure. Link: www.secure-update.com/auth
phishing,A document has been shared with you,FINAL WARNING: We will close your account unless you update your profile here: http://secure-update.com
legit,Class schedule for Spring 2026,Please find the invoice attached for your records.
phishing,Important: Update your mailbox quota,We noticed suspicious activity. Verify your identity at http://paypal-security-update.com to unlock your account.
legit,Class schedule for Spring 2026,See you at the sync later.
phishing,Your subscription has expired,Your mailbox is full. Upgrade your quota for free here: www.secure-update.com/quota
phishing,Important: Update your mailbox quota,Track your package here. It could not be delivered due to missing address: http://secure-update.com
phishing,Your subscription has expired,Someone logged into your account from a new device. Click here if it wasn't you: http://it-helpdesk-portal.com
phishing,Password Reset Required,Someone logged into your account from a new device. Click here if it wasn't you: http://login-verify-account.net
phishing,IT Support: Required System Update,Claim your free iPhone today by clicking this link: http://it-helpdesk-portal.com
legit,Schedule change for Fall 2026,Can you please review the attached document before the meeting at 2 PM?
legit,Task assignment: Q4 Planning,Here is your flight itinerary for your upcoming trip.
phishing,IT Support: Required System Update,Your antivirus subscription expired. Renew now at a discount: http://bca-klik-secure.net
phishing,Action Required: Verify Your Email,You have an unpaid invoice of $450. Pay immediately using the link: http://bca-klik-secure.net
legit,Lunch today?,"Hi, let's meet at next Monday. Regards."
phishing,Final Warning: Account Deletion,You have a pending document shared via OneDrive. View it here: http://verify-your-id.net
legit,University event: Graduation,Your homework has been submitted successfully.
phishing,You won a $500 Cash,Someone logged into your account from a new device. Click here if it wasn't you: http://free-prize-claim.org
legit,Feedback on your presentation,Join us for the Graduation tomorrow.
phishing,Security Alert: Compromised Password,Your PayPal account is restricted. Update your billing details immediately at bca-klik-secure.net.
legit,Invoice #1029 attached,Please note the schedule change for the Guest Lecture.
legit,Your flight itinerary,Welcome to the team! We are glad to have you.
legit,Feedback on your presentation,Let's grab lunch at the cafeteria.
phishing,Account locked due to multiple failed logins,Alert: Unusual activity on your BNI account. Log in to verify: http://secure-update.com
phishing,Unusual login activity,You have an unpaid invoice of $450. Pay immediately using the link: http://login-verify-account.net
legit,Please review document,"Hi, let's meet at 14:00. Regards."
phishing,Update your payment details,FINAL WARNING: We will close your account unless you update your profile here: http://secure-update.com
legit,Lunch today?,Welcome to the team! We are glad to have you.
legit,Lunch today?,Can you please review the attached document before the meeting at next Monday?
phishing,You won a $500 Cash,Claim your free iPhone today by clicking this link: http://free-prize-claim.org
phishing,Verify your identity now,"Dear student, your university account will be deleted unless you verify it here: http://login-verify-account.net/pu-verify"
legit,Question regarding marketing,The report is attached. Let me know if you have questions.
legit,Question regarding timeline,Please note the schedule change for the Graduation.
phishing,President University: IT Helpdesk Alert,Claim your free iPhone today by clicking this link: http://login-verify-account.net
phishing,IT Support: Required System Update,Alert: Unusual activity on your Chase account. Log in to verify: http://login-verify-account.net
phishing,Password Reset Required,Your account will be suspended in 24 hours. Click here to verify: http://paypal-security-update.com/verify
phishing,Final Warning: Account Deletion,Click the link below to reset your password within 2 hours. http://verify-your-id.net
phishing,You won a $500 Cash,We noticed suspicious activity. Verify your identity at http://it-helpdesk-portal.com to unlock your account.
legit,Notes from yesterday's meeting,Here is your flight itinerary for your upcoming trip.
legit,Library overdue notice,Here is your flight itinerary for your upcoming trip.
phishing,URGENT: Account Suspended,You have an unpaid invoice of $450. Pay immediately using the link: http://secure-update.com
legit,Please review document,Just a quick reminder about our meeting regarding Beta.
legit,Meeting at Friday at 3 PM,Welcome to the team! We are glad to have you.
legit,Q3 Marketing Report,Great presentation today! I really liked the part about budget.
phishing,Password Reset Required,Claim your free iPhone today by clicking this link: http://verify-your-id.net
phishing,Password Reset Required,Your mailbox is full. Upgrade your quota for free here: www.paypal-security-update.com/quota
phishing,URGENT: Account Suspended,Your antivirus subscription expired. Renew now at a discount: http://secure-update.com
legit,Meeting at Friday at 3 PM,Wishing you a very happy birthday!
legit,Please review document,Your homework has been submitted successfully.
legit,Schedule change for Spring 2026,Welcome to the team! We are glad to have you.
legit,Welcome to the team,Great presentation today! I really liked the part about timeline.
legit,Your flight itinerary,Can you please review the attached document before the meeting at next Monday?
phishing,A document has been shared with you,Your antivirus subscription expired. Renew now at a discount: http://secure-update.com
phishing,Account locked due to multiple failed logins,FINAL WARNING: We will close your account unless you update your profile here: http://secure-update.com
phishing,Update your payment details,You have a pending document shared via OneDrive. View it here: http://it-helpdesk-portal.com
phishing,Verify your identity now,Your payment failed. Update details now to keep your subscription active: bca-klik-secure.net
legit,Homework submission confirmed,Just a quick reminder about our meeting regarding Data Migration.
phishing,Verify your identity now,Your antivirus subscription expired. Renew now at a discount: http://verify-your-id.net
phishing,Important: Update your mailbox quota,Your payment failed. Update details now to keep your subscription active: bca-klik-secure.net
legit,Welcome to the team,See you at the sync later.
phishing,President University: IT Helpdesk Alert,"Dear student, your university account will be deleted unless you verify it here: http://secure-update.com/pu-verify"
phishing,You won a new iPad,You have an unpaid invoice of $450. Pay immediately using the link: http://secure-update.com
phishing,Final Warning: Account Deletion,Your payment failed. Update details now to keep your subscription active: bca-klik-secure.net
